comment,date,sentiment
GOOOO  TRUMP,2024-04-14T02:22:17Z,1
🇮🇳✝️🌎✝️🇺🇸,2024-04-11T03:54:25Z,0
Trump 2024,2024-03-29T13:10:03Z,1
MARCH 2024?????,2024-03-12T18:23:02Z,-1
Time is over ....for Biden and all his communists...!,2024-03-10T01:38:30Z,1
Da 3:22 è storia !,2024-03-09T10:18:31Z,1
Compare this to the low energy Trump of 2024!  Jeb Bush is starting to look like he is high energy Jeb!!!,2024-03-06T22:00:20Z,1
Trump 2024,2024-03-05T06:52:59Z,1
God,2024-03-04T12:10:56Z,1
Trump 2024,2024-03-04T07:08:35Z,1
He's doing it again,2024-02-29T21:12:07Z,0
LATINOS FOR TRUMP,2024-02-29T00:04:59Z,1
This moment they all laughed at him and said he had no chance……,2024-02-21T04:37:55Z,1
The day a star was born,2024-02-12T22:26:15Z,1
"ასე არს ჰამბავები ხომ
ბატონო პრეზიდენტო",2024-02-11T20:06:30Z,0
"Trump is the choice for me if no other Republican presidential hopefuls come along to replace after the primaries. Biden is a good man as he stands by Israel and Ukraine but sadly he's being compelled by his former boss, Obama, who vowed to make America pay for what he called decades of victimization of Muslims by past US presidents. He was so eager to tell this to the world that he rushed to Cairo - a Muslim capital - as soon as he could after being inaugurated. I wish  Biden never had to content with Obama like this. He would have done much better!",2024-02-06T01:35:20Z,-1
"Trump is a better bet compared to Biden, although he's a good man when he stood by Israel and Ukraine in their hour of need. But one caveat for Trump he's ever ready to abandon Ukraine to nurture his friendship with Putin, and that's damper too.",2024-02-06T01:21:38Z,-1
Historic,2024-01-28T21:47:19Z,1
AWESOME!!!,2024-01-27T01:38:38Z,1
"watching in 2024, im not american but this guy certainly made me interested in american politics",2024-01-23T15:46:54Z,1
❤❤❤,2024-01-19T04:33:09Z,0
❤❤❤,2024-01-19T04:33:02Z,0
❤❤❤,2024-01-19T04:32:54Z,0
Love This Dude,2024-01-19T04:32:48Z,1
#downwithtrump2024 #downwithtrumptower2024,2024-01-15T23:14:11Z,0
