comment,date,sentiment,Positivo,Negativo,Neutro
Who is here after downfall of America???😢,2024-04-15T08:21:20Z,-1,0,1,0
"I wish it was still Donald j TR ump in there right now....  It,if you  ... would be a great thing  , a. Good  person ,and a great president... We need him back",2024-04-14T20:48:48Z,0,0,0,1
"I checked what the weather was like on this day and my app said ""Thunderstorm Of Liberal Tears"".",2024-04-06T22:34:58Z,-1,0,1,0
Pence the traitor.,2024-04-06T04:56:04Z,0,0,0,1
Mike Pence looked like Jim Carrey doing a Clint Eastwood impression.,2024-04-03T19:20:45Z,1,1,0,0
The night the political establishment was stunned.,2024-04-01T09:46:43Z,1,1,0,0
MAGA 2024!!!!!,2024-03-31T12:58:29Z,1,1,0,0
"The lastvisìonteĺls me thatits i
Onĺy one",2024-03-27T04:55:43Z,0,0,0,1
Well pence you were wrong! The day the United States Started to go to hell! 2024 he is still here!BOOOOOOOOOOOOOOOOOO!!!!!!!👎👎👎👎👎👎👎lies lies lies!!,2024-03-26T20:14:59Z,-1,0,1,0
so good,2024-03-23T15:33:02Z,1,1,0,0
Trump 2024 🎉🎉,2024-03-21T23:02:02Z,1,1,0,0
TRUMP 2024!!!!,2024-03-21T06:17:08Z,1,1,0,0
Bankrupt Trump can’t come up with his $464 million bond 😂😂😂😂,2024-03-18T22:36:38Z,-1,0,1,0
"Whether you like his policies, views, or ways, you gotta to admit and you can't deny that he showed everyone everything is possible


TRUMP2024❤",2024-03-16T11:22:02Z,-1,0,1,0
''THIS GUY IS NOTHING BUT A BULL SHITTER AND NOTHING ELS!'',2024-03-08T17:46:47Z,-1,0,1,0
''WHAT DO YOU THINK?'',2024-03-08T17:39:35Z,0,0,0,1
Truly a moment in history. Trump 2024 babyyyyyy 🎉,2024-03-08T05:17:04Z,1,1,0,0
"Trump victory speech: A bucket of BS. 
=================================
Here's the U.S. GDP from 2015 to 2023 (in trillion USD):
Year | GDP (trillion USD) *
2015 | 18.57
2016 | 19.24
2017 | 20.36
2018 | 21.19
2019 | 22.17
2020 | 22.22  
2021 | 23.99 Biden moves into the WHITE HOUSE
2022 | 25.74
2023 | 27.36

U.S. Production for oil:
===============================
Year	Production (thousand barrels per day)
2016	9.47
2017	11.03
2018	11.33
2019	12.30
2020	11.33
2021	11.57 Biden moves into the WHITE HOUSE
2022	11.86
2023	12.39

Highs of the U.S. Stock Market (S&P 500) at the end of each year from 2016 to 2023:
=============================================================================
Year	Closing High
2016	2238.89
2017	2674.53
2018	2914.04
2019	3230.78
2020	3858.88
2021	4807.88 Biden moves into the WHITE HOUSE
2022	4802.80
2023	4769.83",2024-03-06T05:40:50Z,1,1,0,0
