video_id;channelTitle;title;description;tags;publishedAt;viewCount;likeCount;favouriteCount;commentCount;duration;definition;caption
lzwUPjxkmTY;La Manzana Mordida;"BOMBAZO: TODO sobre los NUEVOS iPad Pro OLED y iPad Air 12.9"" FILTRADOS";"¡Prepárate para alucinar! En este video te traigo un análisis completo de todas las filtraciones sobre los próximos iPad Pro OLED y el nuevo iPad Air de 12.9 pulgadas que Apple anunciaría en apenas unas semanas. Repaso cada detalle filtrado sobre sus especificaciones, diseño, fechas de lanzamiento y más. Si estás pensando comprar un iPad, no te pierdas este video con todo lo que debes saber antes de que sean presentados oficialmente.

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz";['iPad Pro OLED', 'iPad Air 12.9', 'filtraciones iPad Pro', 'rumores iPad Air', 'nuevos iPads 2024', 'lanzamiento iPad Pro OLED', 'lanzamiento iPad Air 12.9', 'especificaciones iPad Pro filtradas', 'diseño iPad Air filtrado', 'pantalla OLED iPad Pro', 'precio iPad Pro OLED', 'precio iPad Air 12.9', 'novedades Apple 2024', 'próximos iPads', 'tablets Apple filtradas'];2024-04-15T16:00:38Z;2799;368;;18;PT9M37S;hd;true
wW6Mt-PdCHM;La Manzana Mordida;La GRAN MEJORA que tendrá el Apple Watch Series 10;"¿Quieres saber cuál será el gran avance del Apple Watch Series 10? En este video te contamos todo sobre sus nuevas pantallas OLED con tecnología LTPO TFT, que prometen un ahorro de batería impresionante. Te explicamos cómo funcionan estos paneles de bajo consumo, quiénes los fabricarán y por qué podrían ser el futuro no solo del Apple Watch, sino también del iPhone. ¡Descubre la próxima revolución en pantallas de Apple!

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz";['Apple Watch Series 10', 'pantallas OLED Apple Watch', 'pantallas LTPO', 'LTPO TFT', 'bajo consumo Apple Watch', 'eficiencia energética Apple Watch', 'pantalla siempre activa Apple Watch', 'LG Display', 'Samsung', 'rumores Apple Watch', 'tecnología Apple Watch', 'noticias Apple', 'filtraciones Apple Watch Series 10', 'mejoras Apple Watch', 'innovación pantallas', 'iPhone LTPO', 'iPhone 17', 'ProMotion iPhone', 'Apple Watch 2023'];2024-04-15T14:00:41Z;672;77;;3;PT1M;hd;true
u_HBDVEYNVY;La Manzana Mordida;El MEJOR Android que COMPRARÍA si no tuviera iPhone;"Aunque soy usuario de iPhone, reconozco que hay Androids increíbles en el mercado. En este video te revelo cuál sería mi Android favorito si tuviera que elegir uno.

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz";['mejor Android', 'Android vs iPhone', 'Android favorito', 'Android recomendado', 'Android que compraría', 'móvil Android', 'smartphone Android', 'Android impresionante', 'Android que vale la pena', 'Android gama alta', 'Android potente', 'Android personalizable', 'reviews Android', 'comparativa Android', 'opinión Android', 'móvil si no iPhone', 'alternativa iPhone'];2024-04-14T16:00:41Z;5975;291;;5;PT59S;hd;true
EUzgwnpQKew;La Manzana Mordida;¿Puede Apple DERROTAR a Copilot Pro y Gemini con su NUEVA IA?;"En el mundo de la inteligencia artificial, gigantes como Copilot Pro y Gemini han tomado la delantera, pero ¿qué hará Apple para ponerse al día y superar a sus rivales? En este video analizamos los rumores y movimientos estratégicos de Apple en el campo de la IA. 

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz";['Apple IA', 'Apple inteligencia artificial', 'Apple vs Copilot Pro', 'Apple vs Gemini', 'IA de Apple', 'IA Apple 2024', 'Apple competencia IA', 'Apple planes IA', 'Apple estrategia IA', 'Apple rumores IA', 'Apple patentes IA', 'Apple adquisiciones IA', 'Apple ejecutivos IA', 'Apple desarrollos IA', 'Apple innovación IA', 'futuro IA Apple', 'batalla IA tecnológicas'];2024-04-14T13:30:06Z;2815;142;;3;PT1M;hd;true
nFGk0RjNkvw;La Manzana Mordida;Fecha lanzamiento nuevos iPads, filtración iPhone 16 y 16 Pro, Apple Watch X y más noticias Apple;"¡No te pierdas nuestro resumen semanal de noticias sobre Apple! Te contamos la última hora sobre los nuevos iPad Pro y iPad Air, incluyendo su posible fecha de lanzamiento y las novedades descubiertas en iPadOS 17.5. Además, hablamos de los movimientos de Apple en el mundo de la IA y el interesante proyecto en el que trabajan Sam Altman y Jony Ive. En cuanto a los iPhone, repasamos las filtraciones sobre el diseño y colores de los iPhone 16 y 16 Pro, y lo que sugieren las fundas del iPhone SE 4. También comentamos las afirmaciones de Microsoft sobre sus portátiles con Windows frente a los MacBook Air. Y para terminar, te adelantamos una mejora energética del próximo Apple Watch Series 10. ¡Dale al play y entérate de todo!

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz

Capítulos del video:
0:00 - Sumario e introducción
1:48 - Fecha de lanzamiento de los nuevos iPad Pro y iPad Air
3:44 - iPadOS 17.5 revela novedades sobre batería y pantalla OLED
6:01 - Apple busca licenciar imágenes para entrenar su IA
10:22 - Diseño y colores filtrados de los iPhone 16 y 16 Pro
15:34 - Microsoft afirma que sus portátiles superarán al MacBook Air M3
18:00 - El Apple Watch Series 10 tendrá una pantalla OLED más eficiente";['Apple', 'noticias apple', 'ipad pro 2024', 'ipad air 2024', 'ipados 17.5', 'ia apple', 'sam altman', 'jony ive', 'dispositivo ia', 'iphone 16', 'iphone 16 pro', 'iphone se 4', 'microsoft surface', 'macbook air m3', 'apple watch series 10', 'pantalla oled', 'ltpo', 'resumen semanal', 'filtraciones apple', 'rumores apple', 'lanzamientos apple 2024', 'novedades apple', 'la manzana mordida'];2024-04-12T16:00:41Z;50721;2045;;79;PT20M45S;hd;true
d0Tj7hDYZrw;La Manzana Mordida;El MEJOR editor de video en 2024: Análisis COMPLETO de Movavi Video Editor 24;"⬇️ Prueba el nuevo Movavi Video Editor 24 gratis (7 días): https://mova.vi/46_La_Manzana_Mordida_VE
🪟 WINDOWS: https://mova.vi/46_La_Manzana_Mordida_WIN
🖥️ MAC: https://mova.vi/46_La_Manzana_Mordida_MAC
💸 ATENCIÓN: Utiliza el código promocional MADMOV (20% DE DESCUENTO + 90% en la Movavi Effects Store)

En este análisis completo y en profundidad, te muestro todas las novedades y funciones de Movavi Video Editor 24, el editor más fácil y potente gracias a sus nuevas capacidades de inteligencia artificial. Descubre cómo eliminar fondos y ruido, mejorar la resolución, hacer seguimiento de movimiento y mucho más de forma súper sencilla.

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz";['Movavi Video Editor 24', 'Movavi 24 review', 'Movavi 24 análisis', 'novedades Movavi 24', 'funciones Movavi 24', 'editor video IA', 'Movavi inteligencia artificial', 'eliminar fondo IA', 'eliminar ruido IA', 'mejora resolución IA', 'tracking movimiento IA', 'tutorial Movavi 24', 'cómo usar Movavi 24', 'descuento Movavi 24', 'cupón Movavi 24', 'efectos Movavi 24', 'editar video fácil', 'edición video profesional', 'la manzana mordida'];2024-04-11T16:00:29Z;3441;206;;11;PT18M48S;hd;true
bOe3IxIwFxM;La Manzana Mordida;¡INCREÍBLE! La UE quiere que Apple ELIMINE la app Fotos del iPhone;"La tensión entre Apple y la Unión Europea no cesa. Ahora, la jefa de competencia de la UE, Margrethe Vestager, sugiere que Apple podría verse obligada a permitir la eliminación de la app Fotos en iOS para cumplir con la Ley de Mercados Digitales. Esto supondría una reescritura masiva del sistema y plantea serios desafíos de privacidad. ¿Hasta dónde llegarán las demandas de la UE? ¿Es justo lo que piden? Analizamos esta controvertida situación y damos nuestra opinión. ¡No te lo pierdas!

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz";['Apple vs UE', 'polémica Apple UE', 'eliminar app Fotos iPhone', 'Ley de Mercados Digitales', 'Margrethe Vestager', 'iOS', 'privacidad iPhone', 'datos fotos iPhone', 'aplicaciones terceros iOS', 'cambios iOS', 'Apple dejar Europa', 'Thierry Breton', 'opinión Apple UE', 'noticias Apple', 'noticias tecnología'];2024-04-10T14:25:37Z;8778;452;;53;PT1M;hd;true
zHWnaQg7B78;La Manzana Mordida;La GUÍA DEFINITIVA de apps de Inteligencia Artificial para POTENCIAR tu iPhone, iPad y Mac;"¿Quieres descubrir cómo la inteligencia artificial puede revolucionar tu experiencia con los dispositivos Apple? En este vídeo, te mostramos las 6 aplicaciones de IA que están cambiando las reglas del juego. Desde Perplexity, el buscador que te ofrece respuestas completas y bien estructuradas, hasta Claude, la IA más avanzada en castellano, pasando por herramientas como Notion, Spark y Copilot, que te ayudarán a optimizar tu productividad y creatividad.

Además, te presentamos a Pi, el asistente de IA más humano y empático que existe, y que se convertirá en tu nuevo mejor amigo digital. ¿Quieres saber cómo estas aplicaciones pueden mejorar tu día a día con tu iPhone, iPad o Mac? Dale al play y descúbrelo por ti mismo.

Enlaces mencionados en el vídeo:
- Perplexity: https://perplexity.ai/pro?referral_code=ADKHV5QQ
- Microsoft Edge: https://apps.apple.com/es/app/microsoft-edge-copilot-incorp/id1288723196
- Notion: https://apps.apple.com/us/app/notion-notes-docs-tasks/id1232780281
- Spark: https://apps.apple.com/es/app/spark-mail-correo-inteligente/id997102246
- Copilot: https://apps.apple.com/es/app/microsoft-copilot/id6472538445
- Claude: https://claude.ai/chats
- Pi: https://apps.apple.com/us/app/pi-personal-ai-assistant/id6445815935

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz

Capítulos del video:
00:00 Introducción
01:12 Perplexity
03:34 Microsoft Edge
05:27 Notion
07:39 Spark
09:50 Copilot
11:36 Claude
14:13 Pi
15:56 Despedida";['inteligencia artificial', 'IA', 'aplicaciones de IA', 'apps de IA', 'iPhone', 'iPad', 'Mac', 'Apple', 'dispositivos Apple', 'productividad', 'Perplexity', 'buscador', 'Microsoft Edge', 'navegador web', 'modo oscuro', 'resumen de textos', 'Notion', 'bases de datos', 'plantillas', 'organización', 'Spark', 'gestión de correo', 'resumen de correos', 'Copilot', 'generación de texto', 'creación de imágenes', 'GPT-4', 'Claude', 'Claude Opus', 'Pi', 'asistente de IA', 'chat de IA', 'trucos de productividad', 'La Manzana Mordida'];2024-04-09T16:54:20Z;15753;990;;53;PT17M31S;hd;true
yhZ-_Rb6ijc;La Manzana Mordida;¡FILTRACIÓN! TODO sobre los NUEVOS Beats Solo4: Características INCREÍBLES;"¿Estás buscando los auriculares PERFECTOS? No busques más, porque los Beats Solo4 están a punto de llegar y van a CAMBIAR EL JUEGO. Con un diseño renovado, una batería de larga duración, almohadillas UltraPlush y un sonido IMPRESIONANTE, estos auriculares lo tienen todo. En este video, analizamos a fondo las especificaciones filtradas y comparamos los Beats Solo4 con su predecesor, los Solo3. ¿Valen la pena las mejoras? ¡Te damos nuestra opinión y te contamos cuándo podrás tenerlos en tus manos!

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz";['Beats Solo4', 'Beats Solo3', 'auriculares Beats', 'auriculares inalámbricos', 'filtración Beats Solo4', 'especificaciones Beats Solo4', 'batería Beats Solo4', 'carga rápida Beats', 'audio espacial Beats', 'USB-C Beats', 'jack 3.5mm Beats', 'precio Beats Solo4', 'diseño Beats Solo4', 'comparativa Beats Solo4 vs Solo3', 'mejores auriculares inalámbricos', 'noticias tecnología', 'lanzamiento Beats Solo4'];2024-04-09T13:55:45Z;4151;229;;1;PT1M;hd;true
Y3fF8e2gXCo;La Manzana Mordida;EXCLUSIVA: El FUTURO de SIRI y la IA según el PLAN SECRETO de Apple;"En este video, te traemos un análisis EXCLUSIVO y en profundidad de la estrategia de Inteligencia Artificial de Apple. Descubre todo lo que la compañía tiene planeado para iOS 18, incluyendo mejoras revolucionarias para Siri que podrían competir con ChatGPT y Google. Te revelamos detalles nunca antes vistos sobre cómo Apple planea convertirse en líder de la IA, al nivel de OpenAI. Si te interesa el futuro de la tecnología, no puedes perderte esta investigación exhaustiva.

⭐️ Hazte suscriptor de La Manzana Mordida+ y disfruta de contenido exclusivo, acceso a nuestra comunidad de Telegram, regalos mensuales y mucho más: https://lamanzanamordida.com

🐦 Redes sociales:
- Nuestro Telegram oficial: https://t.me/LaMMordida 
- Nuestro WhatsApp oficial: https://whatsapp.com/channel/0029VaCv9N0BVJkzBvfi6334
- Resto de redes sociales: https://linktr.ee/lamanzanamordida

🔗 Nuestros sitios web
- Web de La Manzana Mordida+: https://lamanzanamordida.com
- Web de noticias Apple: https://lamanzanamordida.net

📬 Correo para acciones comerciales: fernandodelmoralgarcia@gmail.com

📣 Patrocinadores oficiales del canal:
- Rhinoshield: https://url.rhinoshield.es/02-MANZANA24
- NordVPN: https://nordvpn.com/lamanzanamordida
- K-Tuin: https://bit.ly/3tYILXz";['Apple', 'estrategia IA Apple', 'futuro Siri', 'Siri', 'mejoras Siri', 'iOS 18', 'iOS 18 IA', 'inteligencia artificial', 'IA Apple', 'exclusiva Apple', 'plan secreto Apple', 'análisis Apple', 'investigación Apple', 'Apple revoluciona IA', 'estrategia IA', 'liderazgo IA Apple', 'Siri IA', 'novedades Apple', 'rumores Apple', 'filtración Apple', 'OpenAI', 'ChatGPT', 'Google', 'competencia IA', 'asistentes virtuales', 'tecnología', 'innovación'];2024-04-08T15:52:10Z;33600;1820;;89;PT20M15S;hd;true
