comment;date;video_id
Mi primera chamba;2024-03-06T16:53:06Z;MWn--jTEJ8k
Ibai lleva a anuel o bad bunny a la velada y me cruzo el atlantico en piragua;2024-03-06T16:38:23Z;MWn--jTEJ8k
Qyeso;2024-03-06T16:14:51Z;MWn--jTEJ8k
El pepe;2024-03-06T16:04:08Z;MWn--jTEJ8k
que grande;2024-03-06T14:32:12Z;MWn--jTEJ8k
"Contexto: Imaginense Que La Palabra ""Chamba"" Nacia En 1999.";2024-03-06T13:44:35Z;MWn--jTEJ8k
"""mi primera chamba"" el que se le escapó en la pantalla el mariana vs plex xDDDD";2024-03-06T12:42:37Z;MWn--jTEJ8k
Se volvió canon de golpe;2024-03-06T12:17:01Z;MWn--jTEJ8k
Otro Video Resubido;2024-03-06T12:00:30Z;MWn--jTEJ8k
UNO se enojan y tratan de silenciar la IA y otros aprovechan 🤑;2024-03-06T11:39:23Z;MWn--jTEJ8k
Helloo;2024-03-06T11:05:18Z;MWn--jTEJ8k
Maravilloso video. Gran trabajo🧡🧡🧡;2024-03-06T11:01:10Z;MWn--jTEJ8k
Se me paró;2024-03-06T06:11:27Z;-QtaNl9EpPA
Nadie se ha dado cuenta de las bombas de la abuela? Tremendo bicep el que se manda la vieja! Mis respetos! Tiene más que yo!;2024-03-06T01:06:06Z;-QtaNl9EpPA
En vez de telaraña lanza hilos de cocer;2024-03-06T00:23:22Z;-QtaNl9EpPA
Cuál es tu carta favorita de Clash royale;2024-03-05T22:49:58Z;-QtaNl9EpPA
Hasta he llegado a pensar que esa risa es una risa forzada;2024-03-05T16:05:43Z;-QtaNl9EpPA
Spider vieja;2024-03-05T14:24:53Z;-QtaNl9EpPA
Confirmado, los memes con las abuelas son la debilidad de Ibai😅;2024-03-05T14:07:17Z;-QtaNl9EpPA
"La Serie De ""Si Te Ries Pierdes"" Que Buenos Tiempos.";2024-03-05T13:57:02Z;-QtaNl9EpPA
SpiderPapu!?;2024-03-05T12:15:05Z;-QtaNl9EpPA
*Procede a desinflarse*;2024-03-05T12:04:36Z;-QtaNl9EpPA
"""No me lo esperaba""";2024-03-05T11:44:26Z;-QtaNl9EpPA
Xddddd😂😂😂😂😂;2024-03-05T11:40:26Z;-QtaNl9EpPA
Bro la risa JAJAJAJAJA;2024-03-05T11:26:13Z;-QtaNl9EpPA
Abuelita abuelita ven a mi abuelita.;2024-03-05T11:02:43Z;-QtaNl9EpPA
Segundo 🎉🎉🎉🎉;2024-03-05T11:02:20Z;-QtaNl9EpPA
😐;2024-03-05T11:01:43Z;-QtaNl9EpPA
Segundo;2024-03-05T11:01:42Z;-QtaNl9EpPA
Spiterman;2024-03-05T11:01:11Z;-QtaNl9EpPA
